time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
1	-2e-05	-2e-05	-9e-05	-9e-05	-6e-05	-1e-05	-1e-05	-3e-05	1
6	-2e-05	-2e-05	-9e-05	-9e-05	-6e-05	-1e-05	-1e-05	-3e-05	1
7	-2e-05	-2e-05	-9e-05	-9e-05	-6e-05	-1e-05	-1e-05	-3e-05	1
8	0	-2e-05	-2e-05	4e-05	8e-05	0	0	-2e-05	1
9	0	-2e-05	-2e-05	4e-05	8e-05	0	0	-2e-05	1
10	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
11	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
12	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
13	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
14	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
15	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
16	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
18	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
19	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
20	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
21	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
22	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
23	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
24	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
25	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
26	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
27	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
28	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
29	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
30	0	2e-05	4e-05	4e-05	0.00014	-2e-05	-2e-05	0	1
31	-1e-05	-1e-05	-2e-05	-0.00012	-0.00014	0	-3e-05	0	1
33	-1e-05	-1e-05	1e-05	5e-05	3e-05	1e-05	0	0	1
34	-1e-05	-1e-05	1e-05	5e-05	3e-05	1e-05	0	0	1
35	-1e-05	-1e-05	1e-05	5e-05	3e-05	1e-05	0	0	1
44	-1e-05	-1e-05	1e-05	5e-05	3e-05	1e-05	0	0	1
45	-1e-05	-1e-05	1e-05	5e-05	3e-05	1e-05	0	0	1
46	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
47	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
48	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
49	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
50	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
51	1e-05	0	2e-05	-4e-05	-5e-05	-2e-05	-1e-05	-1e-05	1
52	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
53	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
54	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
55	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
56	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
57	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
58	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
59	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
60	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
61	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
62	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
63	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
64	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
65	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
66	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
67	-3e-05	-6e-05	-5e-05	-8e-05	0	-2e-05	-3e-05	1e-05	1
68	-3e-05	1e-05	3e-05	-6e-05	0.00014	-1e-05	1e-05	-6e-05	1
69	-3e-05	1e-05	3e-05	-6e-05	0.00014	-1e-05	1e-05	-6e-05	1
70	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
71	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
72	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
73	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
74	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
75	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
76	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
77	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
78	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
79	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
80	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
81	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
82	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
83	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
84	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
85	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
86	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
89	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
90	0	-1e-05	-2e-05	-6e-05	-4e-05	0	-2e-05	-2e-05	1
91	0	1e-05	3e-05	6e-05	0.0001	-1e-05	0	0	1
92	-2e-05	0	-3e-05	-0.00013	-0.00016	-1e-05	-3e-05	-1e-05	1
93	-1e-05	-4e-05	-7e-05	-8e-05	-0.00015	-1e-05	1e-05	-3e-05	1
94	-1e-05	-4e-05	-7e-05	-8e-05	-0.00015	-1e-05	1e-05	-3e-05	1
